race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
National Championships Colombia ME - ITT 2023 Time Trial,2023-02-02,Bucaramanga,Bucaramanga,NC,43.16,520.0,60.0,31.0,,186.0,3179,48.876,,https://www.procyclingstats.com/race/nc-colombia-itt/2023/result
Santos Tour Down Under 2023 Prologue,2023-01-17,Adelaide ,Adelaide ,2.UWT,5.5,39.0,482.0,0.0,,38.0,379,52.243,https://www.procyclingstats.com/images/profiles/ca/ae/tour-down-under-2023-prologue-profile.jpg,https://www.procyclingstats.com/race/tour-down-under/2023/prologue
National Championships Australia ME - ITT 2023 Time Trial,2023-01-10,Mount Helen,Mount Helen,NC,37.5,,15.0,,,273.0,2798,48.249,,https://www.procyclingstats.com/race/australian-open-road-championships-itt/2023/result
World Championships MJ - ITT 2022 Time Trial,2022-09-20,Wollongong,Wollongong,WC,28.8,306.0,0.0,18.0,,,2099,49.395,https://www.procyclingstats.com/images/profiles/ca/ac/uci-world-championships-itt-mj-2022-result-profile.jpg,https://www.procyclingstats.com/race/uci-world-championships-itt-mj/2022/result
World Championships MU - ITT 2022 Time Trial,2022-09-19,Wollongong,Wollongong,WC,28.8,306.0,19.0,18.0,,242.0,2053,50.502,https://www.procyclingstats.com/images/profiles/ca/ed/world-championships-itt-u23-2022-result-profile-n2.jpg,https://www.procyclingstats.com/race/world-championships-itt-u23/2022/result
World Championships ME - ITT 2022 Time Trial,2022-09-18,Wollongong,Wollongong,WC,34.2,324.0,324.0,17.0,,66.0,2402,51.257,https://www.procyclingstats.com/images/profiles/ca/cd/world-championship-itt-2022-result-profile.jpg,https://www.procyclingstats.com/race/world-championship-itt/2022/result
Škoda Tour Luxembourg 2022 Stage 4 (ITT),2022-09-16,Remich,Remich,2.Pro,26.1,303.0,177.0,38.0,,119.0,2045,45.946,https://www.procyclingstats.com/images/profiles/ca/ce/tour-de-luxembourg-2022-stage-4-profile.jpg,https://www.procyclingstats.com/race/tour-de-luxembourg/2022/stage-4
Okolo Slovenska / Tour de Slovaquie 2022 Prologue,2022-09-13,Bratislava,Bratislava,2.1,7.0,13.0,83.0,0.0,,165.0,453,55.629,https://www.procyclingstats.com/images/profiles/ca/ab/okolo-slovenska-2022-stage-1-profile.jpg,https://www.procyclingstats.com/race/okolo-slovenska/2022/prologue
La Vuelta ciclista a España 2022 Stage 10 (ITT),2022-08-30,Elche,Alicante,2.UWT,30.9,179.0,968.0,4.0,,9.0,1998,55.676,https://www.procyclingstats.com/images/profiles/ca/fc/vuelta-a-espana-2022-stage-10-profile-n2.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-10
Tour Poitou - Charentes en Nouvelle Aquitaine 2022 Stage 4 (ITT),2022-08-25,Smarves,Vivonne,2.1,21.4,167.0,182.0,5.0,,120.0,1501,51.326,https://www.procyclingstats.com/images/profiles/ca/ed/tour-du-poitou-charentes-et-de-la-vienne-2022-stage-3b-profile-n2.jpg,https://www.procyclingstats.com/race/tour-du-poitou-charentes-et-de-la-vienne/2022/stage-4
